tweet,cleaned_tweet,cleaned_token,label
Kampanye akbar #MLB #MLBIndonesia #Rangers.,kampanye akbar mlb mlbindonesia rangers,"['kampanye', 'akbar']",netral
"Conversation. F1 Speed Indonesia · @f1speed_indo. Kampanye Akbar. Translate post. Image. 8:31 AM · Feb 10, 2024. ·. 74.3K. Views.",conversation f speed indonesia kampanye akbar translate post image am feb k views,"['conversation', 'f', 'speed', 'indonesia', '·', 'kampanye', 'akbar', 'translate', 'post', 'image', 'am', '·', 'feb', '·', 'k', 'views']",netral
"AWARENESS DAN SIKAP KAMPANYE SATU PUTARAN Mayoritas, 62.2% tahu kampanye satu putaran. Mayoritas warga, 73.4%, juga setuju dengan pemilu ...",awareness sikap kampanye putar mayoritas kampanye putar mayoritas warga tuju milu,"['awareness', 'sikap', 'kampanye', 'putaran', 'mayoritas', 'kampanye', 'putaran', 'mayoritas', 'warga', 'setuju', 'pemilu']",netral
Anies at Jakarta Intenational Stadium to attend Kampanye Akbar AMIN #KumpulAkbarJIS01 #HumaniesFestival.,anies at jakarta intenational stadium to attend kampanye akbar amin kumpulakbarjis humaniesfestival,"['anies', 'at', 'jakarta', 'intenational', 'stadium', 'to', 'attend', 'kampanye', 'akbar', 'amin']",netral
"SahabatBawaslu, masa kampanye pemilu 2024 segera berakhir dan selanjutnya memasuki masa tenang pada 11-13 Februari 2024.",sahabatbawaslu kampanye milu masuk tenang februari,"['sahabatbawaslu', 'kampanye', 'pemilu', 'memasuki', 'tenang', 'februari']",netral
"Detik-detik kampanye 02 nyungsep #prabowogibrannyungsep. Translate post. Embedded video. 0:06. 6:33 AM · Feb 10, 2024.",detikdetik kampanye nyungsep prabowogibrannyungsep translate post embedded video am feb,"['detikdetik', 'kampanye', 'nyungsep', 'translate', 'post', 'embedded', 'video', 'am', '·', 'feb']",netral
Ratusan ribu simpatisan Prabowo-Gibran menghadiri kampanye terakhir di GBK hari ini! Pesta Rakyat ini menandakan berakhirnya masa kampanye ...,ratus ribu simpatisan prabowogibran hadir kampanye gbk pesta rakyat tanda kampanye,"['ratusan', 'ribu', 'simpatisan', 'prabowogibran', 'menghadiri', 'kampanye', 'gbk', 'pesta', 'rakyat', 'menandakan', 'kampanye']",netral
"Log in · Sign up. Conversation. ØTöNGKØiL · @0tk0il. kampanye #tvvitpolitik. Translate post. Embedded video. 0:16. 3:56 AM · Feb 8, 2024. ·.",log in sign up conversation t ngk il kampanye tvvitpolitik translate post embedded video am feb,"['log', 'in', '·', 'sign', 'up', 'conversation', 'øtöngkøil', '·', 'kampanye', 'translate', 'post', 'embedded', 'video', 'am', '·', 'feb', '·']",netral
"Kampanye 02 VS kampanye 03. Translate post. Embedded video. 1:05. 2:52 PM · Feb 1, 2024. ·. 48K. Views. 221. Reposts.",kampanye vs kampanye translate post embedded video pm feb k views reposts,"['kampanye', 'vs', 'kampanye', 'translate', 'post', 'embedded', 'video', 'pm', '·', 'feb', '·', 'k', 'views', 'reposts']",netral
"Masuk ke akun Iklan Twitter Anda. 2. Klik ""Buat kampanye"" di sudut kanan atas Manajer Iklan. 3. Pilih ""Konversi"" dari daftar tujuan kampanye.",masuk akun iklan twitter klik kampanye sudut kanan manajer iklan pilih konversi daftar tuju kampanye,"['masuk', 'akun', 'iklan', 'twitter', 'klik', 'kampanye', 'sudut', 'kanan', 'manajer', 'iklan', 'pilih', 'konversi', 'daftar', 'tujuan', 'kampanye']",netral
Menghadiri acara Apel Akbar Tim Kampanye Nasional Muda di Jakarta tadi malam. Kalau sudah berjuang bersama para pemuda - pemudi bangsa ...,hadir acara apel akbar tim kampanye nasional muda jakarta malam juang pemuda pemudi bangsa,"['menghadiri', 'acara', 'apel', 'akbar', 'tim', 'kampanye', 'nasional', 'muda', 'jakarta', 'malam', 'berjuang', 'pemuda', 'pemudi', 'bangsa']",netral
EFEK KAMPANYE SATU PUTARAN TERHADAP ELEKTABILITAS Dukungan pada Prabowo-Gibran dan Ganjar-Mahfud lebih tinggi di kelompok yang setuju dengan ...,efek kampanye putar elektabilitas dukung prabowogibran ganjarmahfud kelompok tuju,"['efek', 'kampanye', 'putaran', 'elektabilitas', 'dukungan', 'prabowogibran', 'ganjarmahfud', 'kelompok', 'setuju']",netral
punk kampanye is crazy  . Quote. doido · @iddowildan. ·. Jan 26. Punk golput ❎ Punk kampanye ✓. Embedded video.,punk kampanye is crazy quote doido jan punk golput punk kampanye embedded video,"['punk', 'kampanye', 'is', 'crazy', 'quote', 'doido', '·', '·', 'jan', 'punk', 'golput', '❎', 'punk', 'kampanye', '✓', 'embedded', 'video']",netral
"TemanPemilih, #KamuPerluTau ! Jelang akhir masa kampanye, KPU Provinsi Jawa Timur menyelenggarakan Rapat Koordinasi Fasilitasi Tahapan ...",temanpemilih kamuperlutau jelang kampanye kpu provinsi jawa timur selenggara rapat koordinasi fasilitas tahap,"['temanpemilih', 'jelang', 'kampanye', 'kpu', 'provinsi', 'jawa', 'timur', 'menyelenggarakan', 'rapat', 'koordinasi', 'fasilitasi', 'tahapan']",positif
"Iklan Konten Politik dan iklan Kampanye Politik harus mengacu pada kebijakan ini: Iklan konten politik diartikan sebagai iklan yang merujuk pada kandidat, ...",iklan konten politik iklan kampanye politik acu bijak iklan konten politik arti iklan rujuk kandidat,"['iklan', 'konten', 'politik', 'iklan', 'kampanye', 'politik', 'mengacu', 'kebijakan', 'iklan', 'konten', 'politik', 'diartikan', 'iklan', 'merujuk', 'kandidat']",negatif
